origem,destino,tipo_conexao,justificativa,peso
BEL,BSB,hub_nacional,conexao entre hubs nacionais de alta demanda,151
BEL,CNF,hub_nacional,conexao entre hubs nacionais de alta demanda,187
BEL,CWB,hub_nacional,conexao entre hubs nacionais de alta demanda,231
BEL,MAO,hub_nacional,conexao entre hubs nacionais de alta demanda,127
BEL,FOR,hub_nacional,conexao entre hubs nacionais de alta demanda,115
BEL,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,214
BEL,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,215
BEL,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,211
BEL,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,270
BEL,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,156
BEL,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,215
BEL,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,216
BEL,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,158
BSB,CNF,hub_nacional,conexao entre hubs nacionais de alta demanda,74
BSB,CWB,hub_nacional,conexao entre hubs nacionais de alta demanda,111
BSB,MAO,hub_nacional,conexao entre hubs nacionais de alta demanda,176
BSB,FOR,hub_nacional,conexao entre hubs nacionais de alta demanda,157
BSB,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,99
BSB,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,94
BSB,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,90
BSB,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,150
BSB,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,154
BSB,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,100
BSB,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,95
BSB,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,111
CNF,CWB,hub_nacional,conexao entre hubs nacionais de alta demanda,93
CNF,MAO,hub_nacional,conexao entre hubs nacionais de alta demanda,221
CNF,FOR,hub_nacional,conexao entre hubs nacionais de alta demanda,169
CNF,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,57
CNF,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,67
CNF,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,67
CNF,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,132
CNF,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,151
CNF,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,58
CNF,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,69
