source,target,connection_type,justification,weight
715tkqOhDEkRyQ4RgVRz6m,1gTfshuBo7RRabcq5As4sM,very_similar,Áudio muito similar (dist=0.083),0.083155
715tkqOhDEkRyQ4RgVRz6m,2N1vE6dO6wlZvUGKEwN3tC,similar_audio,Áudio similar entre gêneros (dist=0.128),0.127722
715tkqOhDEkRyQ4RgVRz6m,43KdfKR1Yx1dbHlpr7K2ZQ,similar_audio,Áudio similar entre gêneros (dist=0.144),0.14352
715tkqOhDEkRyQ4RgVRz6m,79SCIhOaRBqHdrBurD2JKb,similar_audio,Áudio similar entre gêneros (dist=0.145),0.145277
715tkqOhDEkRyQ4RgVRz6m,7tUpvgMTJfB4OARD8gD6vg,similar_audio,Áudio similar entre gêneros (dist=0.151),0.151123
715tkqOhDEkRyQ4RgVRz6m,7yLSvkBAxjw6RH9hflGVGN,similar_audio,Áudio similar entre gêneros (dist=0.156),0.155554
715tkqOhDEkRyQ4RgVRz6m,3mRCZFnEABKVY9iQPCgTCD,similar_audio,Áudio similar entre gêneros (dist=0.158),0.157699
715tkqOhDEkRyQ4RgVRz6m,6SWaPVw1U27HKNQ1311hSL,similar_audio,Áudio similar entre gêneros (dist=0.161),0.16109
715tkqOhDEkRyQ4RgVRz6m,0DIB9KkBUjr3t80NiNYf4u,similar_audio,Áudio similar entre gêneros (dist=0.162),0.161625
715tkqOhDEkRyQ4RgVRz6m,2wcN2cBCbkdSIBExLjqFTg,similar_audio,Áudio similar entre gêneros (dist=0.170),0.1696
715tkqOhDEkRyQ4RgVRz6m,0DkXEsmHuwN7OzPbssvtUU,similar_audio,Áudio similar entre gêneros (dist=0.171),0.170946
715tkqOhDEkRyQ4RgVRz6m,4pCvnGkf7jveRMKHZosxxB,similar_audio,Áudio similar entre gêneros (dist=0.184),0.183848
715tkqOhDEkRyQ4RgVRz6m,5M4NzskhOnjs5q1osSSBj2,similar_audio,Áudio similar entre gêneros (dist=0.184),0.184102
715tkqOhDEkRyQ4RgVRz6m,17WGulQEZE54Xhw3wIv0Ti,similar_audio,Áudio similar entre gêneros (dist=0.184),0.184296
715tkqOhDEkRyQ4RgVRz6m,1nBDeSiqD2z1ofv9hEttfi,similar_audio,Áudio similar entre gêneros (dist=0.189),0.189106
715tkqOhDEkRyQ4RgVRz6m,6cIYjXRwQwKnZas3JE3DFT,similar_audio,Áudio similar entre gêneros (dist=0.201),0.200833
715tkqOhDEkRyQ4RgVRz6m,4JLQxXAf8gyZoOpVbcLs0H,similar_audio,Áudio similar entre gêneros (dist=0.202),0.202181
715tkqOhDEkRyQ4RgVRz6m,3x8pMkDfcUYtCEHnpLBbad,similar_audio,Áudio similar entre gêneros (dist=0.204),0.203897
715tkqOhDEkRyQ4RgVRz6m,0R0EnWSJ1bqeWXDdc7Vt7x,similar_audio,Áudio similar entre gêneros (dist=0.209),0.208672
