track_id,track_name,artists,track_genre,danceability,energy,acousticness,instrumentalness,valence,tempo,popularity
715tkqOhDEkRyQ4RgVRz6m,Follow My Bassline - Vanilla Ace & Dharkfunkh Remix,Robbie Rivera;Vanilla Ace;dharkfunkh,progressive-house,0.804,0.717,0.00012,0.795,0.486,123.002,0
6RXJKdpBp6AVL6H6sHyNp0,Yennai Maatrum Kadhale,Anirudh Ravichander;Sid Sriram,hip-hop,0.515,0.766,0.46,3.27e-06,0.346,112.457,60
73ptBTOgUcD3Wyrq0B9eAW,I'm a Firefighter,Cigarettes After Sex,ambient,0.361,0.3,0.483,0.0303,0.125,114.941,61
40p8FDrWaszjXUvyM5MYwl,2015,Weekend Nachos,grindcore,0.285,0.788,1.41e-06,0.821,0.0791,132.234,14
4huBDGP4I3S0pYI0EaRN1c,City of Gods,Fivio Foreign;Kanye West;Alicia Keys,r-n-b,0.474,0.801,0.102,0.0,0.497,147.356,70
0i9jd8jNbERks6KnmXPCmi,Clementine,Punch Brothers,bluegrass,0.606,0.129,0.84,3.83e-06,0.101,112.699,21
53U7rh7p3WN1ZDh79eCiJS,Hold,Ixuol,iranian,0.336,0.385,0.542,0.0655,0.192,169.928,0
4TQgbkv9CF1Qy4GIfpZeSO,The World You See,Cristoph;Franky Wah;Artche,progressive-house,0.545,0.903,0.0119,0.0647,0.0398,126.0,51
1f2AyplMMO29MHBkjfFRmc,Papi Chulo,El Chombo,reggaeton,0.893,0.851,0.0809,0.00143,0.837,110.005,56
1sRL7HMCdXRuaAuoHjAWtX,The Flute Tune,Hidden Agenda,drum-and-bass,0.719,0.768,0.000456,0.861,0.624,163.887,16
2ccCaAC8svYq42eUY6uZuv,You Make Me Feel (Higha),Chino & Nacho;Baroni,electro,0.829,0.726,0.00686,0.00509,0.517,104.985,0
1Uu1dI6OcKWuMLLv8ki3lN,All Star,Smash Mouth,alt-rock,0.731,0.867,0.0394,0.0,0.776,104.02,0
2MlOUXmcofMackX3bxfSwi,Jerusalema (feat. Nomcebo Zikode),Master KG;Nomcebo Zikode,house,0.88,0.483,0.0185,8.68e-06,0.827,124.009,74
5RXe6A6oygLIvR2DMKu9Tv,Big Things A Gwaan,Mr. Vegas,dancehall,0.793,0.674,0.0234,0.0,0.858,94.659,34
0hKSnTDiSC5Uwz6XaWQC7A,Det tog så lång tid att bli ung,Håkan Hellström,goth,0.406,0.298,0.901,5.55e-06,0.356,111.48,0
5b8uYUZSIViJYa0OxHPuOb,Der Zug hat keine Bremse - Mallorcastyle Edition,Mia Julia;Lorenz Büffel;Malle Anja,party,0.795,0.974,0.029,0.0,0.935,137.957,0
1QJd8GI2CPFGdQOxoIiqkl,Maze of Papers,Agathocles,grindcore,0.369,0.877,3.85e-05,0.522,0.817,86.555,14
6zqpcC4WbL7uEweJX2PClm,Ave Maria,Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan,classical,0.177,0.0601,0.987,0.894,0.0543,81.807,0
3NDLVzAtbx2vMbhV32TwO4,Rock Del Suicida,OConnor,heavy-metal,0.572,0.633,0.000537,0.211,0.446,133.523,21
4Ek76ZELnmADDWkpo94uBp,"Vermicular, Obscene, Obese",Aborted,grindcore,0.439,0.974,4.02e-06,0.206,0.272,129.728,14
6onusUIe8SCf1zk8TP4fnk,Rock a Bye Baby,Dave and Ava,children,0.604,0.285,0.917,0.000652,0.265,115.004,38
61bdSdLMKeBOt2oNhV9VE4,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 2. Variation I",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.452,0.0397,0.996,0.936,0.87,194.515,20
0jGlJFZXayPq6PzBNkVSPP,"Peer Gynt Suite No. 1, Op. 46: 4. In The Hall Of The Mountain King",Berliner Philharmoniker;Herbert von Karajan,german,0.301,0.0951,0.732,0.923,0.291,91.503,1
6cKjCsGjoR629sn7paesGM,Under The Rising Sun,ANDY SVGE,hardstyle,0.461,0.97,0.00132,0.875,0.0709,150.117,21
2e2Bn83YtCggoRKyYB9Azb,Que No Pare,Miranda!,electronic,0.848,0.479,0.00773,0.32,0.82,124.017,33
0P4goiAaaECEjQGAWaocaz,Wind in Her Hair,Motorama,goth,0.316,0.761,0.029,0.00261,0.203,125.792,46
