aeroporto,grau,ordem_ego,tamanho_ego,densidade_ego
REC,2,3,2,0.6666666666666666
SSA,2,3,2,0.6666666666666666
FOR,2,3,2,0.6666666666666666
NAT,2,3,2,0.6666666666666666
JPA,2,3,2,0.6666666666666666
GRU,3,4,3,0.5
CGH,1,2,1,1.0
GIG,2,3,2,0.6666666666666666
CNF,2,3,2,0.6666666666666666
VIX,1,2,1,1.0
BSB,5,6,5,0.3333333333333333
GYN,1,2,1,1.0
CWB,2,3,2,0.6666666666666666
FLN,2,3,2,0.6666666666666666
POA,1,2,1,1.0
MAO,2,3,2,0.6666666666666666
BEL,2,3,2,0.6666666666666666
PVH,2,3,2,0.6666666666666666
RBR,1,2,1,1.0
THE,1,2,1,1.0
