aeroporto,grau
VDC,3
CDJ,3
ARX,2
JTC,4
AQA,4
AJU,3
AFL,4
ARU,4
AAX,4
BEL,43
BGX,4
PLU,3
BFH,3
BSB,33
BAT,4
BVB,3
BPG,4
BZC,3
CAC,4
CNF,28
CGR,4
XAP,3
CLN,3
CKS,3
CCM,4
QNS,3
CAW,3
CMG,4
CWB,39
CRQ,4
CXJ,5
CGB,4
CZS,4
PPB,5
MAO,36
JCR,4
IGU,3
FLN,4
FEN,4
FOR,25
GIG,26
GJM,4
GYN,4
GRU,23
GVR,3
GUJ,5
ATM,5
ITA,4
ITB,4
IOS,4
IPN,3
IMP,3
JJD,4
JDF,4
JHF,4
JPA,4
RRJ,3
JOI,3
CPV,3
VCP,36
LAJ,4
LIP,3
LDB,4
LAZ,6
MAB,4
MQH,5
MEU,4
MEA,4
MGF,4
MOC,3
MII,6
PLL,7
MCZ,2
MCP,4
MVF,4
RTE,3
MNX,4
NVT,5
GEL,3
OYK,5
POA,28
PHB,4
POO,3
PFB,4
PGZ,5
PMW,3
PET,3
PNZ,4
PNB,4
PMG,4
BPS,3
PVH,3
RBR,5
ROO,3
REC,26
SDU,22
RAO,3
SNZ,5
NAT,4
SJK,4
SLZ,4
RIA,4
STM,3
CGH,26
SJP,3
SSZ,4
SSA,23
TMT,5
THE,4
TFF,4
TRQ,5
TEC,5
TBT,3
TUR,3
SJL,4
PAV,3
URG,4
UDI,5
UBA,4
VAG,3
BVH,4
VIX,4
IZA,4
FEC,4
JSO,3
EEA,7
LHN,3
AUX,4
